FlightNum,PlanTime,ActualTime,Direction,City,Country,Terminal,Status
1808,2024-08-04T08:50:00,2024-08-04T09:05:00,D,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED
6176,2024-08-04T08:40:00,2024-08-04T09:15:00,D,PARIS,FRANCE,3,DEPARTED
548,2024-08-04T09:15:00,2024-08-04T09:15:00,A,THESSALONIKI,GREECE,3,CANCELED
221,2024-08-04T08:40:00,2024-08-04T09:15:00,D,PARIS,FRANCE,3,DEPARTED
3257,2024-08-04T09:20:00,2024-08-04T09:20:00,A,BUCHAREST,ROMANIA,3,CANCELED
4427,2024-08-04T09:20:00,2024-08-04T09:20:00,A,SOFIA,BULGARIA,3,CANCELED
761,2024-08-04T06:20:00,2024-08-04T09:24:00,D,HERAKLION,GREECE,3,DEPARTED
163,2024-08-04T09:00:00,2024-08-04T09:27:00,D,LARNACA,CYPRUS,1,DEPARTED
807,2024-08-04T08:35:00,2024-08-04T09:32:00,D,RAMON,ISRAEL,1,DEPARTED
056,2024-08-04T09:55:00,2024-08-04T09:37:00,A,RAMON,ISRAEL,1,LANDED
7085,2024-08-04T09:40:00,2024-08-04T09:40:00,A,ABU DHABI,UNITED ARAB EMIRATES,3,CANCELED
2822,2024-08-04T09:45:00,2024-08-04T09:42:00,A,RAMON,ISRAEL,1,LANDED
103,2024-08-04T09:30:00,2024-08-04T09:44:00,D,LARNACA,CYPRUS,3,DEPARTED
170,2024-08-04T02:00:00,2024-08-04T09:45:00,A,LARNACA,CYPRUS,3,LANDED
049,2024-08-04T09:00:00,2024-08-04T09:46:00,D,RAMON,ISRAEL,1,DEPARTED
011,2024-08-04T10:00:00,2024-08-04T09:57:00,A,S.PETERSBURG,RUSSIAN FEDERATION,3,LANDED
611,2024-08-04T08:00:00,2024-08-04T09:59:00,D,MOSCOW,RUSSIAN FEDERATION,3,DEPARTED
4482,2024-08-04T08:00:00,2024-08-04T09:59:00,D,MOSCOW,RUSSIAN FEDERATION,3,DEPARTED
549,2024-08-04T10:00:00,2024-08-04T10:00:00,D,THESSALONIKI,GREECE,3,CANCELED
2325,2024-08-04T10:00:00,2024-08-04T10:00:00,A,BUDAPEST,HUNGARY,3,CANCELED
926,2024-08-04T10:10:00,2024-08-04T10:10:00,A,ATHENS,GREECE,3,CANCELED
2369,2024-08-04T09:35:00,2024-08-04T10:14:00,A,DUBAI,UNITED ARAB EMIRATES,3,LANDED
1549,2024-08-04T09:35:00,2024-08-04T10:14:00,A,DUBAI,UNITED ARAB EMIRATES,3,LANDED
3258,2024-08-04T10:15:00,2024-08-04T10:15:00,D,BUCHAREST,ROMANIA,1,CANCELED
4428,2024-08-04T10:15:00,2024-08-04T10:15:00,D,SOFIA,BULGARIA,1,CANCELED
1071,2024-08-04T09:10:00,2024-08-04T10:20:00,D,RHODES,GREECE,1,DEPARTED
516,2024-08-04T19:25:00,2024-08-04T10:25:00,A,RHODES,GREECE,3,LANDED
7863,2024-08-04T10:10:00,2024-08-04T10:26:00,D,LONDON,UNITED KINGDOM,3,DEPARTED
7452,2024-08-04T10:10:00,2024-08-04T10:26:00,D,LONDON,UNITED KINGDOM,3,DEPARTED
