CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1T,CHLOCCT,CHTERM,CHRMINE
BZ,0707,BLUE BIRD AIRWAYS,2024-08-04T04:00:00,2024-08-04T03:37:00,A,ATH,ATHENS,ATHENS,GREECE,3,LANDED
ET,404,ETHIOPIAN AIRLINES,2024-08-04T03:45:00,2024-08-04T03:45:00,A,ADD,ADDIS ABABA,ADDIS ABABA,ETHIOPIA,3,CANCELED
FB,573,BULGARIA  AIR,2024-08-04T03:10:00,2024-08-04T03:48:00,A,SOF,SOFIA,SOFIA,BULGARIA,3,LANDED
BT,771,AIR BALTIC,2024-08-04T03:50:00,2024-08-04T03:50:00,A,RIX,RIGA,RIGA,LATVIA,3,CANCELED
LO,151,LOT POLISH AIRLINES,2024-08-04T03:50:00,2024-08-04T03:50:00,A,WAW,WARSAW,WARSAW,POLAND,3,CANCELED
LY,9256,EL AL ISRAEL AIRLINES,2024-08-04T03:50:00,2024-08-04T03:50:00,A,WAW,WARSAW,WARSAW,POLAND,3,CANCELED
FB,6083,BULGARIA  AIR,2024-08-04T02:15:00,2024-08-04T03:53:00,A,BOJ,BURGAS,BOURGAS,BULGARIA,3,LANDED
LY,5118,EL AL ISRAEL AIRLINES,2024-08-04T03:15:00,2024-08-04T04:06:00,A,TBS,TBILISI,TBILISI,GEORGIA,3,LANDED
OK,5288,CZECH AIRLINES,2024-08-04T04:35:00,2024-08-04T04:07:00,A,PRG,PRAGUE-RUZYNE,PRAGUE,CZECH REPUBLIC,3,LANDED
QS,1286,SMARTWINGS,2024-08-04T04:35:00,2024-08-04T04:07:00,A,PRG,PRAGUE-RUZYNE,PRAGUE,CZECH REPUBLIC,3,LANDED
AR,7878,AEROLINEAS ARGENTINAS S.A.,2024-08-04T04:25:00,2024-08-04T04:09:00,A,FCO,ROME - FIUMICINO,ROME,ITALY,3,LANDED
LY,284,EL AL ISRAEL AIRLINES,2024-08-04T04:25:00,2024-08-04T04:09:00,A,FCO,ROME - FIUMICINO,ROME,ITALY,3,LANDED
SK,3172,SAS,2024-08-04T04:25:00,2024-08-04T04:09:00,A,FCO,ROME - FIUMICINO,ROME,ITALY,3,LANDED
H4,237,HISKY EUROPE SRL,2024-08-03T22:45:00,2024-08-04T04:25:00,A,OTP,BUCHAREST - OTOPENI,BUCHAREST,ROMANIA,3,LANDED
LY,5148,EL AL ISRAEL AIRLINES,2024-08-04T02:55:00,2024-08-04T04:27:00,A,SKG,THESSALONIKI,THESSALONIKI,GREECE,3,LANDED
IZ,172,ARKIA  ISRAELI  AIRLINES,2024-08-03T23:20:00,2024-08-04T04:36:00,A,LCA,LARNACA,LARNACA,CYPRUS,3,LANDED
LY,1544,EL AL ISRAEL AIRLINES,2024-08-04T04:25:00,2024-08-04T04:40:00,A,ATH,ATHENS,ATHENS,GREECE,3,LANDED
AZ,809,ITALIA TRASPORTO AEREO,2024-08-04T04:45:00,2024-08-04T04:45:00,D,FCO,ROME - FIUMICINO,ROME,ITALY,3,CANCELED
A3,527,AEGEAN  AIRLINES,2024-08-04T04:45:00,2024-08-04T04:45:00,D,LCA,LARNACA,LARNACA,CYPRUS,3,CANCELED
DL,6655,DELTA AIRLINES,2024-08-04T04:45:00,2024-08-04T04:45:00,D,FCO,ROME - FIUMICINO,ROME,ITALY,3,CANCELED
