CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1T,CHLOCCT,CHTERM,CHRMINE
LY,027,EL AL ISRAEL AIRLINES,2024-08-07T00:30:00,2024-08-07T00:30:00,D,EWR,NEW YORK - NEWARK,NEWARK,UNITED STATES,3,ON TIME
IZ,272,ARKIA  ISRAELI  AIRLINES,2024-08-07T00:35:00,2024-08-07T00:35:00,A,BCN,BARCELONA,BARCELONA,SPAIN,3,NOT FINAL
LY,2360,EL AL ISRAEL AIRLINES,2024-08-07T00:40:00,2024-08-07T00:40:00,A,BUD,BUDAPEST,BUDAPEST,HUNGARY,3,NOT FINAL
LY,352,EL AL ISRAEL AIRLINES,2024-08-07T00:40:00,2024-08-07T00:40:00,A,MUC,MUNICH,MUNICH,GERMANY,3,NOT FINAL
LY,356,EL AL ISRAEL AIRLINES,2024-08-07T00:40:00,2024-08-07T00:40:00,A,FRA,FRANKFURT,FRANKFURT,GERMANY,3,NOT FINAL
SK,3178,SAS,2024-08-07T00:40:00,2024-08-07T00:40:00,A,MUC,MUNICH,MUNICH,GERMANY,3,NOT FINAL
ET,405,ETHIOPIAN AIRLINES,2024-08-07T00:50:00,2024-08-07T00:50:00,D,ADD,ADDIS ABABA,ADDIS ABABA,ETHIOPIA,3,ON TIME
IZ,420,ARKIA  ISRAELI  AIRLINES,2024-08-07T00:50:00,2024-08-07T00:50:00,A,TBS,TBILISI,TBILISI,GEORGIA,3,NOT FINAL
LY,8807,EL AL ISRAEL AIRLINES,2024-08-07T00:50:00,2024-08-07T00:50:00,D,ADD,ADDIS ABABA,ADDIS ABABA,ETHIOPIA,3,ON TIME
IZ,1218,ARKIA  ISRAELI  AIRLINES,2024-08-07T00:55:00,2024-08-07T00:55:00,A,ATH,ATHENS,ATHENS,GREECE,3,NOT FINAL
LY,083,EL AL ISRAEL AIRLINES,2024-08-07T00:55:00,2024-08-07T00:55:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,BANGKOK,THAILAND,3,ON TIME
LY,364,EL AL ISRAEL AIRLINES,2024-08-07T00:55:00,2024-08-07T00:55:00,A,VIE,VIENNA,VIENNA,AUSTRIA,3,NOT FINAL
LY,572,EL AL ISRAEL AIRLINES,2024-08-07T00:55:00,2024-08-07T00:55:00,A,OTP,BUCHAREST - OTOPENI,BUCHAREST,ROMANIA,3,NOT FINAL
QF,5018,QANTAS AIRWAYS,2024-08-07T00:55:00,2024-08-07T00:55:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,BANGKOK,THAILAND,3,ON TIME
TG,4586,THAI AIRWAYS,2024-08-07T00:55:00,2024-08-07T00:55:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,BANGKOK,THAILAND,3,ON TIME
AM,7869,AERO MEXICO,2024-08-07T01:00:00,2024-08-07T01:00:00,D,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,ON TIME
AR,7853,AEROLINEAS ARGENTINAS S.A.,2024-08-07T01:00:00,2024-08-07T01:00:00,D,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,ON TIME
B6,6451,JETBLUE AIRWAYS CORPORATION,2024-08-07T01:00:00,2024-08-07T01:00:00,D,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,ON TIME
B6,6481,JETBLUE AIRWAYS CORPORATION,2024-08-07T01:00:00,2024-08-07T01:00:00,D,EWR,NEW YORK - NEWARK,NEWARK,UNITED STATES,3,ON TIME
DL,7424,DELTA AIRLINES,2024-08-07T01:00:00,2024-08-07T01:00:00,D,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,ON TIME
DL,7441,DELTA AIRLINES,2024-08-07T01:00:00,2024-08-07T01:00:00,D,EWR,NEW YORK - NEWARK,NEWARK,UNITED STATES,3,ON TIME
LY,001,EL AL ISRAEL AIRLINES,2024-08-07T01:00:00,2024-08-07T01:00:00,D,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,ON TIME
LY,025,EL AL ISRAEL AIRLINES,2024-08-07T01:00:00,2024-08-07T01:00:00,D,EWR,NEW YORK - NEWARK,NEWARK,UNITED STATES,3,ON TIME
AM,7875,AERO MEXICO,2024-08-07T01:05:00,2024-08-07T01:05:00,D,LAX,LOS ANGELES,LOS ANGELES,UNITED STATES,3,ON TIME
B6,6461,JETBLUE AIRWAYS CORPORATION,2024-08-07T01:05:00,2024-08-07T01:05:00,D,LAX,LOS ANGELES,LOS ANGELES,UNITED STATES,3,ON TIME
B6,6465,JETBLUE AIRWAYS CORPORATION,2024-08-07T01:05:00,2024-08-07T01:05:00,D,BOS,BOSTON-LOGAN INT,BOSTON,UNITED STATES,3,ON TIME
DL,7428,DELTA AIRLINES,2024-08-07T01:05:00,2024-08-07T01:05:00,D,LAX,LOS ANGELES,LOS ANGELES,UNITED STATES,3,ON TIME
DL,7435,DELTA AIRLINES,2024-08-07T01:05:00,2024-08-07T01:05:00,D,BOS,BOSTON-LOGAN INT,BOSTON,UNITED STATES,3,ON TIME
LY,005,EL AL ISRAEL AIRLINES,2024-08-07T01:05:00,2024-08-07T01:05:00,D,LAX,LOS ANGELES,LOS ANGELES,UNITED STATES,3,ON TIME
LY,015,EL AL ISRAEL AIRLINES,2024-08-07T01:05:00,2024-08-07T01:05:00,D,BOS,BOSTON-LOGAN INT,BOSTON,UNITED STATES,3,ON TIME
EAF,202,ELECTRA AIRWAYS,2024-08-07T01:20:00,2024-08-07T01:20:00,D,BOJ,BURGAS,BOURGAS,BULGARIA,3,ON TIME
NO,9070,NEOS,2024-08-07T01:50:00,2024-08-07T01:50:00,A,MLH,MULHOUSE,MULHOUSE,FRANCE,3,NOT FINAL
XR,274,CORENDON EUROPE,2024-08-07T01:55:00,2024-08-07T01:55:00,A,KUN,KAUNAS,KAUNAS,LITHUANIA,3,NOT FINAL
A3,928,AEGEAN  AIRLINES,2024-08-07T02:00:00,2024-08-07T02:00:00,A,ATH,ATHENS,ATHENS,GREECE,3,NOT FINAL
EK,4977,EMIRATES,2024-08-07T02:00:00,2024-08-07T02:00:00,A,ATH,ATHENS,ATHENS,GREECE,3,NOT FINAL
LY,5164,EL AL ISRAEL AIRLINES,2024-08-07T02:00:00,2024-08-07T02:00:00,A,OPO,PORTO,PORTO,PORTUGAL,3,NOT FINAL
6H,752,ISRAIR AIRLINES,2024-08-07T02:00:00,2024-08-07T02:00:00,A,LJU,LJUBLJANA,LJUBLJANA,SLOVENIA,3,NOT FINAL
6H,894,ISRAIR AIRLINES,2024-08-07T02:00:00,2024-08-07T02:00:00,A,TBS,TBILISI,TBILISI,GEORGIA,3,NOT FINAL
LY,210,EL AL ISRAEL AIRLINES,2024-08-07T02:05:00,2024-08-07T02:05:00,A,LHR,LONDON - HEATHROW,LONDON,UNITED KINGDOM,3,NOT FINAL
SK,3198,SAS,2024-08-07T02:05:00,2024-08-07T02:05:00,A,LHR,LONDON - HEATHROW,LONDON,UNITED KINGDOM,3,NOT FINAL
VS,7490,VIRGIN ATLANTIC AIRWAYS,2024-08-07T02:05:00,2024-08-07T02:05:00,A,LHR,LONDON - HEATHROW,LONDON,UNITED KINGDOM,3,NOT FINAL
6H,352,ISRAIR AIRLINES,2024-08-07T02:05:00,2024-08-07T02:05:00,A,VRN,VILLAFRANCA-VERONA,VERONA,ITALY,3,NOT FINAL
AR,7874,AEROLINEAS ARGENTINAS S.A.,2024-08-07T02:10:00,2024-08-07T02:10:00,A,FCO,ROME - FIUMICINO,ROME,ITALY,3,NOT FINAL
LY,384,EL AL ISRAEL AIRLINES,2024-08-07T02:10:00,2024-08-07T02:10:00,A,FCO,ROME - FIUMICINO,ROME,ITALY,3,NOT FINAL
SK,3166,SAS,2024-08-07T02:10:00,2024-08-07T02:10:00,A,FCO,ROME - FIUMICINO,ROME,ITALY,3,NOT FINAL
TP,8897,AIR PORTUGAL,2024-08-07T02:10:00,2024-08-07T02:10:00,A,FCO,ROME - FIUMICINO,ROME,ITALY,3,NOT FINAL
6H,704,ISRAIR AIRLINES,2024-08-07T02:15:00,2024-08-07T02:15:00,A,OTP,BUCHAREST - OTOPENI,BUCHAREST,ROMANIA,3,NOT FINAL
FB,6083,BULGARIA  AIR,2024-08-07T02:20:00,2024-08-07T02:20:00,A,BOJ,BURGAS,BOURGAS,BULGARIA,3,CANCELED
IZ,282,ARKIA  ISRAELI  AIRLINES,2024-08-07T02:30:00,2024-08-07T02:30:00,A,PRG,PRAGUE-RUZYNE,PRAGUE,CZECH REPUBLIC,3,NOT FINAL
LY,372,EL AL ISRAEL AIRLINES,2024-08-07T02:45:00,2024-08-07T02:45:00,A,LIS,LISBON,LISBON,PORTUGAL,3,NOT FINAL
AM,7850,AERO MEXICO,2024-08-07T02:55:00,2024-08-07T02:55:00,A,AMS,AMSTERDAM,AMSTERDAM,NETHERLANDS,3,NOT FINAL
KL,2474,K.L.M.,2024-08-07T02:55:00,2024-08-07T02:55:00,A,AMS,AMSTERDAM,AMSTERDAM,NETHERLANDS,3,NOT FINAL
LY,336,EL AL ISRAEL AIRLINES,2024-08-07T02:55:00,2024-08-07T02:55:00,A,AMS,AMSTERDAM,AMSTERDAM,NETHERLANDS,3,NOT FINAL
LY,548,EL AL ISRAEL AIRLINES,2024-08-07T02:55:00,2024-08-07T02:55:00,A,ATH,ATHENS,ATHENS,GREECE,3,NOT FINAL
SK,3152,SAS,2024-08-07T02:55:00,2024-08-07T02:55:00,A,AMS,AMSTERDAM,AMSTERDAM,NETHERLANDS,3,NOT FINAL
ENT,230,ENTER AIR- E4,2024-08-07T03:05:00,2024-08-07T03:05:00,A,KTW,KATOWICE,KATOWICE,POLAND,3,NOT FINAL
G2,607,GULLIVAIR,2024-08-07T03:05:00,2024-08-07T03:05:00,A,BOJ,BURGAS,BOURGAS,BULGARIA,3,NOT FINAL
LY,2524,EL AL ISRAEL AIRLINES,2024-08-07T03:05:00,2024-08-07T03:05:00,A,PRG,PRAGUE-RUZYNE,PRAGUE,CZECH REPUBLIC,3,NOT FINAL
6H,724,ISRAIR AIRLINES,2024-08-07T03:05:00,2024-08-07T03:05:00,A,BUD,BUDAPEST,BUDAPEST,HUNGARY,3,NOT FINAL
AZ,810,ITALIA TRASPORTO AEREO,2024-08-07T03:10:00,2024-08-07T03:10:00,A,FCO,ROME - FIUMICINO,ROME,ITALY,3,NOT FINAL
JU,7381,AIR SERBIA,2024-08-07T03:10:00,2024-08-07T03:10:00,A,FCO,ROME - FIUMICINO,ROME,ITALY,3,NOT FINAL
LY,2374,EL AL ISRAEL AIRLINES,2024-08-07T03:10:00,2024-08-07T03:10:00,A,BER,BERLIN BRANDENBURG INTL,BERLIN,GERMANY,3,NOT FINAL
SK,3156,SAS,2024-08-07T03:10:00,2024-08-07T03:10:00,A,BER,BERLIN BRANDENBURG INTL,BERLIN,GERMANY,3,NOT FINAL
LY,5110,EL AL ISRAEL AIRLINES,2024-08-07T03:15:00,2024-08-07T03:15:00,A,TBS,TBILISI,TBILISI,GEORGIA,3,NOT FINAL
LY,314,EL AL ISRAEL AIRLINES,2024-08-07T03:35:00,2024-08-07T03:35:00,A,LTN,LUTON,LONDON LUTON,UNITED KINGDOM,3,NOT FINAL
LY,2368,EL AL ISRAEL AIRLINES,2024-08-07T03:40:00,2024-08-07T03:40:00,A,BUD,BUDAPEST,BUDAPEST,HUNGARY,3,NOT FINAL
LY,388,EL AL ISRAEL AIRLINES,2024-08-07T03:40:00,2024-08-07T03:40:00,A,MXP,MILAN-MALPENSA,MILAN,ITALY,3,NOT FINAL
SK,3180,SAS,2024-08-07T03:40:00,2024-08-07T03:40:00,A,MXP,MILAN-MALPENSA,MILAN,ITALY,3,NOT FINAL
TP,8901,AIR PORTUGAL,2024-08-07T03:40:00,2024-08-07T03:40:00,A,MXP,MILAN-MALPENSA,MILAN,ITALY,3,NOT FINAL
ET,404,ETHIOPIAN AIRLINES,2024-08-07T03:45:00,2024-08-07T03:45:00,A,ADD,ADDIS ABABA,ADDIS ABABA,ETHIOPIA,3,NOT FINAL
BT,771,AIR BALTIC,2024-08-07T03:50:00,2024-08-07T03:50:00,A,RIX,RIGA,RIGA,LATVIA,3,NOT FINAL
LO,151,LOT POLISH AIRLINES,2024-08-07T03:50:00,2024-08-07T03:50:00,A,WAW,WARSAW,WARSAW,POLAND,3,NOT FINAL
LY,9256,EL AL ISRAEL AIRLINES,2024-08-07T03:50:00,2024-08-07T03:50:00,A,WAW,WARSAW,WARSAW,POLAND,3,NOT FINAL
AF,7072,AIR FRANCE,2024-08-07T03:55:00,2024-08-07T03:55:00,A,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,NOT FINAL
AM,7854,AERO MEXICO,2024-08-07T03:55:00,2024-08-07T03:55:00,A,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,NOT FINAL
LY,326,EL AL ISRAEL AIRLINES,2024-08-07T03:55:00,2024-08-07T03:55:00,A,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,NOT FINAL
SK,3158,SAS,2024-08-07T03:55:00,2024-08-07T03:55:00,A,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,NOT FINAL
6H,152,ISRAIR AIRLINES,2024-08-07T03:55:00,2024-08-07T03:55:00,A,AGP,MALAGA,MALAGA,SPAIN,3,NOT FINAL
AR,7865,AEROLINEAS ARGENTINAS S.A.,2024-08-07T04:00:00,2024-08-07T04:00:00,A,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,NOT FINAL
B6,6454,JETBLUE AIRWAYS CORPORATION,2024-08-07T04:00:00,2024-08-07T04:00:00,A,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,NOT FINAL
DL,7427,DELTA AIRLINES,2024-08-07T04:00:00,2024-08-07T04:00:00,A,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,NOT FINAL
LY,004,EL AL ISRAEL AIRLINES,2024-08-07T04:00:00,2024-08-07T04:00:00,A,JFK,NEW YORK - J.F.KENNEDY,NEW YORK,UNITED STATES,3,NOT FINAL
LY,5114,EL AL ISRAEL AIRLINES,2024-08-07T04:05:00,2024-08-07T04:05:00,A,KRK,KRAKOW,KRAKOW,POLAND,3,NOT FINAL
IZ,296,ARKIA  ISRAELI  AIRLINES,2024-08-07T04:10:00,2024-08-07T04:10:00,A,OTP,BUCHAREST - OTOPENI,BUCHAREST,ROMANIA,3,NOT FINAL
OK,5288,CZECH AIRLINES,2024-08-07T04:35:00,2024-08-07T04:35:00,A,PRG,PRAGUE-RUZYNE,PRAGUE,CZECH REPUBLIC,3,NOT FINAL
QS,1286,SMARTWINGS,2024-08-07T04:35:00,2024-08-07T04:35:00,A,PRG,PRAGUE-RUZYNE,PRAGUE,CZECH REPUBLIC,3,NOT FINAL
LY,5128,EL AL ISRAEL AIRLINES,2024-08-07T04:40:00,2024-08-07T04:40:00,A,RMO,CHISINAU,CHISINAU,MOLDOVA,3,NOT FINAL
AZ,809,ITALIA TRASPORTO AEREO,2024-08-07T04:45:00,2024-08-07T04:45:00,D,FCO,ROME - FIUMICINO,ROME,ITALY,3,ON TIME
DL,6655,DELTA AIRLINES,2024-08-07T04:45:00,2024-08-07T04:45:00,D,FCO,ROME - FIUMICINO,ROME,ITALY,3,ON TIME
JU,7380,AIR SERBIA,2024-08-07T04:45:00,2024-08-07T04:45:00,D,FCO,ROME - FIUMICINO,ROME,ITALY,3,ON TIME
NO,2610,NEOS,2024-08-07T04:45:00,2024-08-07T04:45:00,A,VRN,VILLAFRANCA-VERONA,VERONA,ITALY,3,NOT FINAL
ENT,231,ENTER AIR- E4,2024-08-07T04:50:00,2024-08-07T04:50:00,D,KTW,KATOWICE,KATOWICE,POLAND,3,ON TIME
A3,929,AEGEAN  AIRLINES,2024-08-07T05:00:00,2024-08-07T05:00:00,D,ATH,ATHENS,ATHENS,GREECE,3,ON TIME
LY,311,EL AL ISRAEL AIRLINES,2024-08-07T05:00:00,2024-08-07T05:00:00,D,LTN,LUTON,LONDON LUTON,UNITED KINGDOM,3,ON TIME
AM,7876,AERO MEXICO,2024-08-07T05:05:00,2024-08-07T05:05:00,A,LHR,LONDON - HEATHROW,LONDON,UNITED KINGDOM,3,NOT FINAL
LO,152,LOT POLISH AIRLINES,2024-08-07T05:05:00,2024-08-07T05:05:00,D,WAW,WARSAW,WARSAW,POLAND,3,ON TIME
LY,318,EL AL ISRAEL AIRLINES,2024-08-07T05:05:00,2024-08-07T05:05:00,A,LHR,LONDON - HEATHROW,LONDON,UNITED KINGDOM,3,NOT FINAL
LY,9255,EL AL ISRAEL AIRLINES,2024-08-07T05:05:00,2024-08-07T05:05:00,D,WAW,WARSAW,WARSAW,POLAND,3,ON TIME
SK,3174,SAS,2024-08-07T05:05:00,2024-08-07T05:05:00,A,LHR,LONDON - HEATHROW,LONDON,UNITED KINGDOM,3,NOT FINAL
VS,7496,VIRGIN ATLANTIC AIRWAYS,2024-08-07T05:05:00,2024-08-07T05:05:00,A,LHR,LONDON - HEATHROW,LONDON,UNITED KINGDOM,3,NOT FINAL
LY,5145,EL AL ISRAEL AIRLINES,2024-08-07T05:10:00,2024-08-07T05:10:00,D,SKG,THESSALONIKI,THESSALONIKI,GREECE,1,ON TIME
6H,881,ISRAIR AIRLINES,2024-08-07T05:10:00,2024-08-07T05:10:00,D,GYD,BAKU HEYDAR ALIYEV INT`L,BAKU,AZERBAIJAN,1,ON TIME
ET,415,ETHIOPIAN AIRLINES,2024-08-07T05:15:00,2024-08-07T05:15:00,D,ADD,ADDIS ABABA,ADDIS ABABA,ETHIOPIA,3,ON TIME
IZ,415,ARKIA  ISRAELI  AIRLINES,2024-08-07T05:25:00,2024-08-07T05:25:00,D,BUS,BATUMI,BATUMI,GEORGIA,3,ON TIME
LY,5101,EL AL ISRAEL AIRLINES,2024-08-07T05:25:00,2024-08-07T05:25:00,D,WAW,WARSAW,WARSAW,POLAND,3,ON TIME
AM,7879,AERO MEXICO,2024-08-07T05:30:00,2024-08-07T05:30:00,D,MAD,MADRID,MADRID,SPAIN,3,ON TIME
AR,7871,AEROLINEAS ARGENTINAS S.A.,2024-08-07T05:30:00,2024-08-07T05:30:00,D,MAD,MADRID,MADRID,SPAIN,3,ON TIME
FB,6084,BULGARIA  AIR,2024-08-07T05:30:00,2024-08-07T05:30:00,D,BOJ,BURGAS,BOURGAS,BULGARIA,3,ON TIME
IB,2394,IBERIA,2024-08-07T05:30:00,2024-08-07T05:30:00,D,MAD,MADRID,MADRID,SPAIN,3,ON TIME
IZ,217,ARKIA  ISRAELI  AIRLINES,2024-08-07T05:30:00,2024-08-07T05:30:00,D,ATH,ATHENS,ATHENS,GREECE,3,ON TIME
LY,395,EL AL ISRAEL AIRLINES,2024-08-07T05:30:00,2024-08-07T05:30:00,D,MAD,MADRID,MADRID,SPAIN,3,ON TIME
OK,5289,CZECH AIRLINES,2024-08-07T05:35:00,2024-08-07T05:35:00,D,PRG,PRAGUE-RUZYNE,PRAGUE,CZECH REPUBLIC,3,ON TIME
QS,1287,SMARTWINGS,2024-08-07T05:35:00,2024-08-07T05:35:00,D,PRG,PRAGUE-RUZYNE,PRAGUE,CZECH REPUBLIC,3,ON TIME
IB,2392,IBERIA,2024-08-07T05:45:00,2024-08-07T05:45:00,D,BCN,BARCELONA,BARCELONA,SPAIN,3,ON TIME
LY,376,EL AL ISRAEL AIRLINES,2024-08-07T05:45:00,2024-08-07T05:45:00,A,LIS,LISBON,LISBON,PORTUGAL,3,NOT FINAL
LY,393,EL AL ISRAEL AIRLINES,2024-08-07T05:45:00,2024-08-07T05:45:00,D,BCN,BARCELONA,BARCELONA,SPAIN,3,ON TIME
TP,8913,AIR PORTUGAL,2024-08-07T05:45:00,2024-08-07T05:45:00,A,LIS,LISBON,LISBON,PORTUGAL,3,NOT FINAL
AF,7067,AIR FRANCE,2024-08-07T05:50:00,2024-08-07T05:50:00,D,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,ON TIME
AM,7867,AERO MEXICO,2024-08-07T05:50:00,2024-08-07T05:50:00,D,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,ON TIME
LY,319,EL AL ISRAEL AIRLINES,2024-08-07T05:50:00,2024-08-07T05:50:00,D,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,ON TIME
SK,3161,SAS,2024-08-07T05:50:00,2024-08-07T05:50:00,D,CDG,PARIS-CHARLES DE GAULLE,PARIS,FRANCE,3,ON TIME
AM,7864,AERO MEXICO,2024-08-07T06:00:00,2024-08-07T06:00:00,D,AMS,AMSTERDAM,AMSTERDAM,NETHERLANDS,3,ON TIME
IZ,093,ARKIA  ISRAELI  AIRLINES,2024-08-07T06:00:00,2024-08-07T06:00:00,D,HER,HERAKLION,HERAKLION,GREECE,1,ON TIME
KL,2473,K.L.M.,2024-08-07T06:00:00,2024-08-07T06:00:00,D,AMS,AMSTERDAM,AMSTERDAM,NETHERLANDS,3,ON TIME
LY,337,EL AL ISRAEL AIRLINES,2024-08-07T06:00:00,2024-08-07T06:00:00,D,AMS,AMSTERDAM,AMSTERDAM,NETHERLANDS,3,ON TIME
LY,353,EL AL ISRAEL AIRLINES,2024-08-07T06:00:00,2024-08-07T06:00:00,D,MUC,MUNICH,MUNICH,GERMANY,3,ON TIME
SK,3155,SAS,2024-08-07T06:00:00,2024-08-07T06:00:00,D,AMS,AMSTERDAM,AMSTERDAM,NETHERLANDS,3,ON TIME
AR,7877,AEROLINEAS ARGENTINAS S.A.,2024-08-07T06:05:00,2024-08-07T06:05:00,D,FCO,ROME - FIUMICINO,ROME,ITALY,3,ON TIME
LY,361,EL AL ISRAEL AIRLINES,2024-08-07T06:05:00,2024-08-07T06:05:00,D,VIE,VIENNA,VIENNA,AUSTRIA,3,ON TIME
LY,385,EL AL ISRAEL AIRLINES,2024-08-07T06:05:00,2024-08-07T06:05:00,D,FCO,ROME - FIUMICINO,ROME,ITALY,3,ON TIME
LY,971,EL AL ISRAEL AIRLINES,2024-08-07T06:05:00,2024-08-07T06:05:00,D,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,ON TIME
SK,3167,SAS,2024-08-07T06:05:00,2024-08-07T06:05:00,D,FCO,ROME - FIUMICINO,ROME,ITALY,3,ON TIME
TP,8898,AIR PORTUGAL,2024-08-07T06:05:00,2024-08-07T06:05:00,D,FCO,ROME - FIUMICINO,ROME,ITALY,3,ON TIME
6H,755,ISRAIR AIRLINES,2024-08-07T06:05:00,2024-08-07T06:05:00,D,LJU,LJUBLJANA,LJUBLJANA,SLOVENIA,3,ON TIME
DL,7454,DELTA AIRLINES,2024-08-07T06:10:00,2024-08-07T06:10:00,D,FRA,FRANKFURT,FRANKFURT,GERMANY,3,ON TIME
LY,289,EL AL ISRAEL AIRLINES,2024-08-07T06:10:00,2024-08-07T06:10:00,D,VCE,VENICE,VENICE,ITALY,3,ON TIME
LY,345,EL AL ISRAEL AIRLINES,2024-08-07T06:10:00,2024-08-07T06:10:00,D,GVA,GENEVA,GENEVA,SWITZERLAND,3,ON TIME
LY,357,EL AL ISRAEL AIRLINES,2024-08-07T06:10:00,2024-08-07T06:10:00,D,FRA,FRANKFURT,FRANKFURT,GERMANY,3,ON TIME
NO,2611,NEOS,2024-08-07T06:10:00,2024-08-07T06:10:00,D,VRN,VILLAFRANCA-VERONA,VERONA,ITALY,3,ON TIME
SK,3165,SAS,2024-08-07T06:10:00,2024-08-07T06:10:00,D,FRA,FRANKFURT,FRANKFURT,GERMANY,3,ON TIME
EK,2450,EMIRATES,2024-08-07T06:15:00,2024-08-07T06:15:00,A,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,NOT FINAL
FZ,1625,FLYDUBAI,2024-08-07T06:15:00,2024-08-07T06:15:00,A,DXB,DUBAI,DUBAI,UNITED ARAB EMIRATES,3,NOT FINAL
6H,192,ISRAIR AIRLINES,2024-08-07T06:15:00,2024-08-07T06:15:00,A,LIS,LISBON,LISBON,PORTUGAL,3,NOT FINAL
LY,2371,EL AL ISRAEL AIRLINES,2024-08-07T06:20:00,2024-08-07T06:20:00,D,BER,BERLIN BRANDENBURG INTL,BERLIN,GERMANY,3,ON TIME
LY,5107,EL AL ISRAEL AIRLINES,2024-08-07T06:20:00,2024-08-07T06:20:00,D,TBS,TBILISI,TBILISI,GEORGIA,1,ON TIME
SK,3157,SAS,2024-08-07T06:20:00,2024-08-07T06:20:00,D,BER,BERLIN BRANDENBURG INTL,BERLIN,GERMANY,3,ON TIME
WZ,015,RED WINGS AIRLINES,2024-08-07T06:25:00,2024-08-07T06:25:00,A,DME,MOSCOW-DOMODEDOVO,MOSCOW,RUSSIAN FEDERATION,3,NOT FINAL
AF,6173,AIR FRANCE,2024-08-07T06:30:00,2024-08-07T06:30:00,D,NCE,NICE,NICE,FRANCE,3,ON TIME
IZ,803,ARKIA  ISRAELI  AIRLINES,2024-08-07T06:30:00,2024-08-07T06:30:00,D,ETM,RAMON,RAMON,ISRAEL,1,ON TIME
LY,082,EL AL ISRAEL AIRLINES,2024-08-07T06:30:00,2024-08-07T06:30:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,BANGKOK,THAILAND,3,NOT FINAL
LY,223,EL AL ISRAEL AIRLINES,2024-08-07T06:30:00,2024-08-07T06:30:00,D,NCE,NICE,NICE,FRANCE,3,ON TIME
QF,5021,QANTAS AIRWAYS,2024-08-07T06:30:00,2024-08-07T06:30:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,BANGKOK,THAILAND,3,NOT FINAL
TG,4583,THAI AIRWAYS,2024-08-07T06:30:00,2024-08-07T06:30:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,BANGKOK,THAILAND,3,NOT FINAL
VN,3299,VIETNAM AIRLINES,2024-08-07T06:30:00,2024-08-07T06:30:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,BANGKOK,THAILAND,3,NOT FINAL
AF,6172,AIR FRANCE,2024-08-07T06:35:00,2024-08-07T06:35:00,D,MRS,MARSEILLE,MARSEILLE,FRANCE,3,ON TIME
LY,321,EL AL ISRAEL AIRLINES,2024-08-07T06:35:00,2024-08-07T06:35:00,D,MRS,MARSEILLE,MARSEILLE,FRANCE,3,ON TIME
TP,8902,AIR PORTUGAL,2024-08-07T06:35:00,2024-08-07T06:35:00,D,MRS,MARSEILLE,MARSEILLE,FRANCE,3,ON TIME
BT,772,AIR BALTIC,2024-08-07T06:40:00,2024-08-07T06:40:00,D,RIX,RIGA,RIGA,LATVIA,3,ON TIME
LY,2365,EL AL ISRAEL AIRLINES,2024-08-07T06:40:00,2024-08-07T06:40:00,D,BUD,BUDAPEST,BUDAPEST,HUNGARY,3,ON TIME
B6,6484,JETBLUE AIRWAYS CORPORATION,2024-08-07T06:55:00,2024-08-07T06:55:00,A,EWR,NEW YORK - NEWARK,NEWARK,UNITED STATES,3,NOT FINAL
DL,7444,DELTA AIRLINES,2024-08-07T06:55:00,2024-08-07T06:55:00,A,EWR,NEW YORK - NEWARK,NEWARK,UNITED STATES,3,NOT FINAL
LY,028,EL AL ISRAEL AIRLINES,2024-08-07T06:55:00,2024-08-07T06:55:00,A,EWR,NEW YORK - NEWARK,NEWARK,UNITED STATES,3,NOT FINAL
AR,7850,AEROLINEAS ARGENTINAS S.A.,2024-08-07T07:00:00,2024-08-07T07:00:00,A,MIA,MIAMI INTERNATIONAL,MIAMI,UNITED STATES,3,NOT FINAL
